distance_from_center_mm,angle_degrees,etch_gas_flow,spin_coat_rpm,litho_overlay_error_nm,yield_pass
14.7,70.27,48.07,1639,2.679,1
13.38,235.37,50.56,2106,2.094,1
7.83,274.97,46.0,1791,0.974,1
129.9,28.09,45.28,2070,1.634,1
96.53,269.23,55.58,2171,0.533,1
89.34,207.96,40.76,1907,2.771,1
107.88,296.14,53.14,1939,1.382,1
73.95,208.94,49.18,1882,1.585,1
32.48,160.74,46.89,2048,2.63,1
80.17,239.95,44.91,1909,2.421,1
92.57,49.85,51.59,1798,2.417,1
122.03,45.34,52.9,2067,0.349,1
90.76,322.86,57.65,1821,3.19,1
54.17,103.95,44.77,1794,1.068,1
5.12,132.57,46.83,2040,1.586,1
63.05,103.3,51.1,1941,1.771,1
14.36,3.11,53.93,1974,1.675,1
16.13,125.27,48.16,1959,2.723,0
16.94,80.94,49.39,2054,4.239,1
96.0,225.53,44.86,2337,2.606,1
76.17,145.2,59.86,2064,2.26,1
48.66,278.04,49.97,2062,2.491,1
126.39,170.92,50.55,2065,2.99,1
88.82,187.34,49.58,2091,1.653,1
9.65,318.31,56.02,1781,2.75,1
52.14,242.27,59.16,2001,1.594,1
84.47,251.14,47.88,2373,2.787,1
110.19,349.44,48.49,1956,3.921,1
119.44,130.15,49.6,1887,2.934,0
122.3,42.48,51.88,2136,2.697,1
68.27,10.35,48.65,1799,1.124,0
147.71,4.29,47.57,2144,3.063,1
67.51,266.89,49.56,2030,1.231,1
61.19,249.52,42.34,2099,0.948,1
90.44,208.77,48.08,1935,1.686,1
39.82,62.04,48.05,1679,1.825,1
137.91,2.58,54.37,2149,1.417,1
141.92,285.94,54.22,2016,1.368,0
35.56,50.61,55.25,1976,1.697,1
70.29,339.23,52.75,2007,1.131,1
18.0,260.12,44.49,1972,2.51,1
12.94,222.66,36.21,1951,1.905,1
141.11,37.55,49.68,2200,2.099,0
70.0,259.31,45.78,1978,0.212,1
124.33,300.38,47.12,1791,2.384,1
121.43,45.62,53.74,2171,3.972,1
8.61,232.1,45.82,1928,2.139,1
63.33,179.63,59.44,2014,1.362,1
68.3,280.29,50.24,1965,1.444,1
81.14,46.54,54.67,1941,2.799,1
141.12,156.75,45.41,2035,2.95,1
76.17,143.88,50.01,2053,2.081,1
12.47,203.7,52.44,1840,2.686,1
131.25,290.51,51.61,2173,2.073,0
17.64,193.91,49.68,1940,2.892,1
121.3,159.26,63.89,2269,2.928,1
121.92,157.07,47.76,2007,1.638,1
87.26,319.69,42.12,1848,2.594,1
20.54,183.11,44.14,2050,2.44,1
95.44,176.15,46.25,2005,1.591,1
21.41,110.0,48.51,1973,1.291,1
83.81,79.59,51.77,1966,2.536,0
2.41,267.21,42.98,1828,1.84,1
115.63,74.0,64.82,1884,1.232,1
130.37,210.67,49.23,2019,2.411,0
33.93,74.81,45.35,1884,2.644,1
105.59,344.22,50.92,1984,1.576,1
63.9,271.27,49.6,1982,3.828,1
3.38,318.62,57.93,1932,1.93,1
115.39,192.63,50.84,1927,0.621,1
6.54,345.54,53.06,2039,1.766,1
112.56,279.0,54.86,1933,0.492,1
106.14,212.61,52.22,1941,2.081,1
60.45,351.99,47.76,2067,2.338,1
42.86,352.77,47.76,1836,1.985,1
96.78,85.67,42.81,2200,2.109,1
119.54,261.76,45.78,1744,2.466,1
146.65,253.48,48.73,1819,3.772,0
146.72,208.88,46.17,2115,2.132,0
57.96,307.98,48.9,2202,1.027,1
55.8,13.64,51.79,1953,1.971,1
76.4,227.27,50.13,2144,0.99,1
24.12,307.82,56.83,1904,2.807,1
135.17,309.0,48.86,2077,0.586,1
145.7,195.62,52.24,2242,1.722,1
117.17,25.36,44.45,1921,3.481,1
89.98,3.25,50.1,1761,3.068,1
139.57,9.71,48.45,2068,2.734,0
97.29,45.47,49.13,2053,1.155,1
103.74,305.6,46.27,1922,1.563,1
7.88,182.36,53.33,2044,2.16,1
103.11,315.5,47.97,2045,0.571,1
18.09,150.54,57.17,1997,1.985,1
146.77,81.58,54.18,1897,1.752,1
98.32,197.15,41.8,1852,1.626,1
9.42,121.65,49.54,1999,1.36,1
48.28,350.32,52.31,1830,2.078,1
16.12,345.3,49.51,1833,2.875,1
106.16,2.92,45.11,1959,1.486,1
24.59,31.48,53.69,2149,1.559,1
25.06,350.02,51.33,2044,1.642,1
35.12,184.5,42.41,1940,0.584,1
132.7,247.1,38.71,2257,1.357,1
21.31,328.29,51.89,1962,2.147,1
127.31,125.91,55.15,1954,2.432,0
129.29,315.15,52.41,2012,2.15,0
11.93,184.55,47.22,2017,1.016,1
102.19,72.37,38.87,1984,1.932,1
19.35,252.26,56.65,1860,2.411,1
97.38,58.51,46.79,2091,1.763,1
103.24,61.08,59.82,1913,4.064,1
53.63,325.74,56.25,2188,2.809,1
31.93,345.11,46.11,2356,2.486,1
40.66,112.4,54.21,2005,2.638,0
147.82,251.74,54.3,2181,2.618,0
24.15,305.33,47.48,2159,1.833,1
149.09,161.71,48.84,2002,1.248,1
94.14,294.36,48.67,2104,1.907,0
15.52,34.57,41.38,2401,3.353,1
101.85,219.45,44.03,2063,1.136,1
100.41,25.75,45.88,1792,1.007,1
8.79,347.06,51.55,2033,1.319,1
94.01,21.22,37.75,2194,1.087,1
58.04,40.4,49.43,2063,2.503,1
8.78,196.93,53.8,1843,2.074,1
23.79,72.36,54.59,1699,2.48,1
86.19,85.38,59.38,2202,1.25,1
149.27,299.57,48.63,2281,2.787,0
59.19,114.04,47.84,1898,1.575,1
49.09,60.64,49.36,1970,2.555,1
110.53,93.89,52.74,1956,4.048,1
8.66,342.66,45.76,2027,0.763,1
136.04,239.87,52.58,1872,1.965,1
11.66,268.09,38.85,1996,1.659,1
92.19,118.67,55.99,1733,2.289,1
92.18,226.73,55.62,2038,1.873,1
58.9,273.56,50.42,2274,1.84,1
10.15,48.33,45.65,1948,0.749,1
9.15,87.86,50.67,1915,1.478,1
92.49,260.01,45.44,1995,3.708,1
40.99,240.23,50.68,1968,1.556,1
102.83,151.88,43.42,2083,0.549,1
149.04,194.4,44.13,1809,1.082,1
106.19,140.21,57.28,1929,2.661,1
24.64,38.55,54.07,1961,0.0,1
61.58,301.06,49.74,2011,2.516,1
123.23,222.19,45.99,2104,1.11,1
136.15,297.46,50.22,2028,1.868,0
136.25,27.77,41.82,2145,0.693,1
132.05,134.64,49.6,2022,1.007,1
63.56,109.12,46.44,2101,1.126,1
142.23,125.83,45.57,2006,2.785,1
64.31,338.71,46.93,1858,0.589,1
84.58,132.96,56.58,2110,2.333,1
11.43,321.12,55.16,1924,2.069,1
145.96,290.08,56.23,2058,1.688,0
58.91,311.3,48.19,2063,3.042,1
29.73,112.45,50.01,1886,2.272,1
72.08,213.85,52.68,1884,0.227,1
76.99,308.85,48.06,2220,1.67,1
20.4,32.58,52.98,2125,3.854,1
109.39,21.85,58.22,1890,2.301,1
39.25,62.48,53.25,1851,2.834,1
71.21,44.05,54.42,2351,2.411,1
137.74,129.34,55.58,1879,2.823,1
87.87,196.85,43.88,2117,2.626,1
113.38,297.24,50.16,2025,2.461,1
81.82,189.17,41.83,2077,1.663,1
105.0,162.81,48.79,2299,2.315,1
135.38,253.97,45.66,2109,1.286,0
143.41,164.31,53.58,1813,1.696,1
6.11,234.74,46.84,2429,1.979,1
20.6,151.77,52.15,1878,1.381,1
1.57,255.36,50.03,2065,1.231,1
63.38,117.46,55.83,2157,2.412,1
98.94,11.82,58.2,2031,1.425,1
92.65,255.47,45.2,2053,2.718,0
114.06,84.5,52.23,2010,0.426,1
144.15,147.53,48.54,2098,3.712,1
12.04,174.3,57.66,2018,2.037,1
117.27,5.84,49.78,2165,2.172,1
53.08,310.9,46.81,1947,2.644,1
34.27,251.35,50.6,1894,3.05,1
45.88,138.91,53.1,1976,0.408,1
67.47,235.34,49.77,2161,0.228,1
89.45,33.14,42.47,1964,1.116,1
81.89,302.83,50.54,2079,1.984,1
33.54,110.1,48.81,2025,1.437,1
15.76,291.05,51.66,2010,2.735,1
22.32,126.07,47.77,2093,2.025,1
84.45,11.03,51.54,1917,1.811,0
8.21,183.3,52.88,1951,0.82,1
33.82,27.0,48.25,1923,1.769,1
58.12,241.55,55.94,1937,1.081,1
58.8,52.49,46.28,2038,2.901,1
111.49,0.18,49.7,1949,1.273,1
25.59,234.14,58.03,1993,2.258,1
97.4,119.14,52.22,2138,2.491,1
93.16,328.05,52.09,2002,1.712,0
31.65,325.14,55.68,1844,2.353,1
1.09,169.34,52.71,2053,1.463,1
135.07,140.98,45.54,2147,2.412,1
47.86,304.84,46.62,2290,1.048,1
70.05,295.31,53.76,1965,1.665,1
104.68,220.17,54.59,1654,0.357,1
147.96,146.28,43.69,2311,2.383,0
61.89,43.19,49.37,2148,1.758,1
94.97,204.42,46.43,1816,1.858,1
19.26,230.45,51.59,1891,2.755,1
87.71,4.97,46.99,2024,2.205,1
64.48,232.26,46.15,2343,1.56,0
35.71,40.58,42.37,2037,1.462,1
79.72,277.95,46.6,2228,2.524,1
16.32,304.11,50.18,1767,1.918,1
32.14,34.03,34.6,1853,2.203,1
114.68,95.91,41.93,2325,2.266,1
29.46,162.82,50.36,1920,0.887,1
25.33,351.5,50.32,2041,2.572,1
126.35,133.09,55.64,2229,1.648,1
20.42,135.97,50.75,1891,1.627,1
82.99,114.98,50.42,1689,3.293,1
68.5,78.21,48.35,1849,3.185,1
126.4,257.61,56.75,1877,2.084,1
34.67,46.12,52.42,2059,2.156,1
135.84,246.95,47.66,1703,1.639,1
112.63,269.73,52.02,2139,0.854,1
120.82,320.95,46.79,1844,2.503,1
77.04,336.98,50.28,2098,1.588,1
43.86,343.19,40.99,2197,2.014,1
71.51,90.23,57.04,1858,2.441,1
111.13,39.93,51.87,1975,1.725,1
84.39,35.82,52.15,1857,3.473,1
26.84,172.64,50.19,1955,1.855,1
19.6,225.15,52.83,1743,1.644,1
116.56,358.58,58.86,2023,1.685,1
69.44,185.7,51.34,1824,0.473,1
135.83,154.95,51.3,1949,0.628,1
137.12,89.08,52.66,2147,2.585,1
96.36,194.52,48.47,1952,1.318,0
131.34,230.69,44.3,2023,1.782,1
6.79,354.11,52.96,1996,2.919,1
141.82,54.75,53.87,2037,1.379,0
32.85,347.32,58.95,1785,2.188,1
139.88,62.53,46.1,2062,1.732,1
90.09,326.7,60.21,2173,1.66,1
76.25,199.41,61.08,2078,2.271,1
54.29,150.65,51.12,2075,1.639,1
8.48,338.63,53.46,2050,1.836,1
65.77,122.62,49.92,2072,2.856,1
75.49,80.84,52.36,1731,3.097,1
72.73,304.46,47.47,1880,2.815,1
54.37,128.71,47.74,2016,2.307,1
2.86,152.55,46.69,1926,2.059,1
114.55,271.45,52.45,1932,3.618,1
112.4,77.53,50.01,2170,1.205,1
39.48,279.83,48.42,2064,2.009,1
91.31,135.49,49.64,2056,4.048,1
99.16,256.82,46.0,1999,2.507,1
0.46,328.19,45.49,2052,1.266,1
64.85,31.4,53.76,2068,1.69,1
63.33,184.4,54.89,1833,1.272,1
18.23,225.2,49.4,1930,2.737,1
56.07,121.61,50.84,2078,2.613,1
83.72,53.09,48.07,2031,2.95,1
47.35,147.89,53.6,2085,0.509,1
109.24,124.5,42.53,1964,2.312,1
10.67,275.39,56.77,2055,1.193,1
96.02,6.26,47.15,2337,2.181,1
82.03,64.63,37.01,2018,1.078,1
119.07,42.75,53.2,1800,2.722,1
70.83,348.94,46.4,1965,2.097,1
17.24,352.12,52.23,2188,2.911,1
39.8,168.03,39.03,2252,0.805,1
107.33,132.56,45.35,1918,2.909,1
109.01,325.1,46.33,1880,1.195,1
12.48,48.77,50.85,1824,1.538,1
14.44,70.66,53.52,1773,3.007,1
82.42,298.35,44.34,1801,2.175,1
131.64,85.3,46.42,2044,3.078,1
80.8,276.04,46.03,1895,2.678,1
34.74,233.47,54.9,1903,3.984,1
147.05,297.95,48.4,2015,1.328,1
13.01,226.16,50.49,2042,2.854,1
58.56,207.38,45.55,2237,1.854,1
129.49,209.57,57.51,1986,0.67,1
48.56,225.73,48.47,2099,2.824,1
114.31,265.76,48.1,1801,0.921,1
99.83,5.92,50.92,1875,2.492,1
78.34,77.89,47.35,1801,2.276,1
103.57,41.41,52.38,1831,1.642,1
48.59,340.77,51.6,2022,2.276,1
123.36,20.98,50.02,2171,2.465,1
17.29,118.28,39.99,2277,1.67,1
8.68,185.88,54.17,1986,3.19,1
41.89,341.51,44.74,1877,2.47,1
60.99,292.71,52.08,1844,1.029,1
53.27,100.1,48.58,2009,2.353,1
101.79,225.45,53.4,1991,2.21,1
55.86,282.85,53.93,1773,2.032,1
41.7,40.95,48.23,2033,3.15,1
7.18,286.05,48.28,2383,2.48,1
10.21,184.73,49.37,1963,1.324,1
77.13,157.4,41.14,2010,2.673,1
20.19,16.99,59.18,2104,1.925,1
14.31,2.01,50.67,2182,1.477,1
75.58,177.69,51.01,1713,3.052,1
130.26,161.41,43.98,1859,2.041,1
88.93,187.37,47.9,1916,1.459,1
115.31,87.9,43.98,2163,1.43,1
120.84,201.69,45.77,1961,1.783,1
97.08,80.25,49.3,1881,1.426,1
84.03,314.06,45.04,2148,2.588,1
104.68,115.69,44.98,2094,0.986,1
147.49,256.12,54.56,1969,1.977,0
35.19,64.53,63.25,1932,0.325,1
4.28,348.61,47.59,2143,0.161,1
131.59,159.42,50.99,1879,1.918,1
68.02,286.99,51.25,2199,1.788,1
50.17,109.03,44.62,1833,2.094,1
31.2,298.64,47.26,2061,1.743,1
106.02,99.48,45.06,1884,1.535,1
47.25,90.98,50.49,1897,1.174,1
5.7,358.86,57.76,2009,0.101,1
12.26,111.45,50.28,1663,1.467,1
34.72,302.29,60.18,1634,1.999,1
117.25,44.22,49.59,2277,1.488,1
16.02,62.11,53.95,2063,3.265,1
45.95,271.97,47.47,1750,2.227,1
148.7,318.02,51.61,1919,2.192,1
138.35,309.74,40.14,2133,2.141,0
71.45,109.42,43.12,1857,1.974,1
8.92,8.6,49.36,1956,3.026,1
143.31,80.03,47.96,1816,1.018,1
117.04,167.21,48.26,2102,2.446,1
129.25,332.47,41.67,2110,2.171,1
93.32,145.19,53.6,1871,0.923,1
32.36,329.74,49.05,1869,2.04,1
149.15,28.45,53.95,1984,2.317,1
13.62,328.0,50.02,1972,2.236,1
116.86,259.87,49.48,1985,1.981,1
127.51,76.01,53.17,2047,2.208,1
117.12,291.25,44.29,1917,1.819,0
28.69,352.8,43.39,1625,1.808,1
127.17,308.33,56.05,2010,2.722,0
57.52,137.49,45.9,1811,0.976,1
19.45,60.61,48.45,1965,3.391,1
48.41,215.55,46.81,1799,2.797,1
50.4,346.64,47.84,1984,3.891,1
9.14,36.48,48.57,1711,1.544,1
5.01,70.94,45.81,2002,0.953,0
67.08,187.94,52.29,2259,2.596,1
38.27,9.86,48.52,1947,2.047,1
47.98,333.03,46.39,1851,1.81,1
133.13,65.34,53.71,1904,2.154,1
66.72,260.73,54.09,1782,2.937,1
62.56,329.61,49.51,2098,3.132,1
128.07,182.93,48.12,1743,1.97,1
11.95,79.75,51.42,1979,3.118,1
7.77,330.58,47.94,2073,1.539,1
20.46,318.11,54.33,2146,2.225,1
106.81,78.85,50.12,2116,1.103,1
34.33,320.3,48.51,2241,2.848,1
147.76,299.92,46.09,1980,2.739,0
85.33,254.13,51.79,2058,1.64,1
1.52,245.92,57.17,2011,2.124,1
6.5,28.42,55.35,2278,1.769,1
147.49,286.14,51.14,2011,1.066,0
5.52,139.89,48.79,2210,0.653,1
115.41,39.9,49.62,1845,1.482,1
113.06,280.84,49.54,1669,2.107,1
60.27,346.9,46.95,2096,2.284,1
130.65,87.17,45.41,2004,1.935,0
62.5,235.19,55.59,2328,1.972,1
101.27,348.75,45.76,1662,2.208,1
63.53,190.38,48.91,2199,2.968,1
22.78,62.63,46.29,2123,1.822,1
78.32,194.16,50.64,2210,2.579,1
145.49,178.21,45.71,2046,1.905,0
107.38,326.68,57.86,1919,0.422,1
138.94,298.84,58.66,1839,2.337,1
39.77,70.7,42.72,2049,2.507,1
104.48,56.98,40.43,2004,1.906,0
51.73,156.91,49.81,2271,2.556,1
133.29,79.57,56.92,1964,1.995,1
149.04,3.86,55.28,1934,2.421,0
8.4,48.73,46.81,1943,2.141,1
37.77,222.6,43.02,1904,2.604,1
77.96,206.82,49.66,1636,1.064,1
109.75,357.43,49.5,1805,1.48,1
12.39,140.36,47.28,2143,1.044,1
92.22,81.65,42.62,2167,2.341,0
97.75,343.44,51.5,1906,0.0,0
108.01,196.11,48.56,1908,0.722,1
64.43,341.15,50.94,1881,2.001,1
6.02,150.44,50.81,1917,3.56,1
76.25,70.03,53.55,1762,2.9,1
64.05,143.1,51.78,2109,1.574,0
21.07,61.96,44.39,2229,2.16,1
87.17,199.56,45.17,2287,2.292,1
37.38,88.17,61.62,1910,2.598,1
140.16,271.4,52.64,2149,2.056,0
61.62,195.91,37.66,2070,3.728,1
136.92,140.8,57.66,1879,1.975,0
136.83,105.47,59.45,1853,1.348,1
89.25,343.75,48.38,2035,1.874,1
140.82,117.43,48.13,2105,2.235,1
96.14,93.25,52.02,1928,0.3,1
83.35,40.78,55.47,2046,2.365,1
117.61,276.02,55.21,2064,2.369,1
7.9,257.76,58.21,2057,1.44,1
4.19,332.1,52.47,1888,1.871,1
124.94,21.94,51.77,1912,2.674,1
54.03,263.85,42.66,1731,2.338,1
113.04,227.5,47.59,1813,2.351,1
62.8,206.24,48.13,1989,2.001,1
83.05,286.5,51.67,1967,2.122,1
49.28,51.79,58.31,1962,2.718,0
134.25,118.57,51.98,2005,1.566,1
129.63,270.65,47.61,2067,0.803,0
14.05,15.15,48.21,1921,1.521,1
64.58,61.41,48.24,2148,1.966,1
92.38,358.02,53.34,1965,1.603,1
6.8,41.89,53.33,1811,2.013,1
76.88,28.17,51.35,1812,1.777,0
138.34,273.46,59.61,2031,0.917,0
85.7,182.49,53.09,1987,1.182,1
135.09,208.3,48.63,1849,2.776,0
10.39,145.38,47.1,1828,2.091,1
114.26,57.78,48.47,1993,0.923,1
17.36,65.0,52.93,1924,0.392,1
101.05,184.93,51.86,1895,2.738,1
137.79,311.14,56.0,1855,1.647,1
13.24,83.86,56.11,1888,1.331,1
90.15,304.43,43.24,1982,1.584,1
134.34,356.56,42.07,1975,3.177,0
143.0,358.53,45.71,1909,2.102,0
120.43,20.6,57.14,2007,2.682,1
40.7,213.28,60.16,2339,1.917,1
119.36,192.36,54.28,2054,0.738,1
119.49,196.28,47.73,1786,2.143,1
140.19,2.29,44.39,2163,2.41,1
10.88,22.14,57.63,2238,1.286,1
123.17,222.68,52.06,1815,2.727,1
45.9,301.67,50.2,2076,3.686,1
42.51,79.32,50.65,1958,1.463,1
41.54,1.4,57.71,2059,1.397,1
149.22,236.74,47.77,1915,1.932,0
46.4,327.2,49.49,2126,2.312,1
44.52,5.22,48.13,1925,2.402,1
81.46,14.09,46.05,1889,0.622,1
122.68,277.0,52.21,2078,2.57,1
115.4,210.65,50.94,1829,1.626,1
124.16,271.31,50.63,2166,1.807,0
133.16,150.43,51.69,2048,1.75,1
34.22,83.82,54.93,2179,1.279,1
145.03,316.68,54.71,2187,2.245,0
23.08,153.2,50.25,2024,1.369,1
56.93,234.05,46.64,1870,2.608,0
69.1,97.03,53.05,2076,1.227,1
42.44,59.49,63.43,1828,1.571,1
143.47,291.5,44.64,1977,2.064,1
104.42,309.71,50.73,1816,0.246,1
113.92,255.71,41.74,2185,1.438,1
75.76,80.61,47.01,1901,0.674,1
5.32,31.07,46.95,1983,3.539,1
142.1,352.69,54.11,1995,2.433,0
70.24,42.18,50.74,2140,3.372,1
59.73,68.75,51.26,1780,3.108,1
73.48,353.74,62.1,1947,3.049,0
94.35,356.41,48.9,1917,2.248,1
101.49,300.32,55.13,1849,1.413,1
135.23,200.94,49.43,1863,1.3,0
20.6,89.27,41.13,1795,1.267,1
63.84,244.63,60.46,1806,2.166,1
83.11,248.44,49.27,1971,2.501,1
104.9,47.22,51.88,2155,2.495,1
98.45,29.78,50.04,2083,2.213,1
115.8,277.71,47.84,1953,1.876,1
7.67,252.99,52.0,2026,0.567,1
6.76,72.86,42.89,2001,0.0,0
113.58,45.0,49.11,2115,1.677,0
92.51,27.07,51.04,2110,1.679,1
38.12,25.4,54.73,2127,2.107,1
141.7,234.03,45.37,1912,1.55,1
134.14,106.38,46.57,2076,0.756,1
143.19,120.81,44.97,2113,2.146,1
41.09,136.93,49.97,2152,1.903,1
124.12,122.76,53.23,1878,3.152,1
29.61,54.01,56.3,1701,2.625,1
11.53,195.26,53.34,2060,0.889,1
93.23,211.07,46.27,1970,1.274,1
68.3,160.49,44.37,1988,0.882,1
142.67,204.6,49.24,2099,1.22,0
15.36,102.96,42.52,2043,2.396,1
56.59,179.49,53.5,1946,2.537,1
54.02,350.35,49.24,2079,1.171,1
132.96,251.42,60.37,1811,2.152,1
60.68,240.2,56.92,1935,3.459,1
133.84,166.0,39.97,2399,2.226,0
27.36,86.95,48.07,1885,2.754,0
6.92,334.55,52.75,1922,1.199,1
34.94,319.38,50.06,2004,0.166,1
3.72,246.58,54.75,2202,1.142,1
18.87,281.63,51.88,2156,1.752,1
81.62,216.28,45.08,1910,1.838,1
2.35,321.9,49.51,2208,1.859,1
72.07,137.53,54.64,1775,2.369,1
142.06,10.8,58.18,2019,2.869,0
125.26,264.59,49.75,1731,1.451,1
24.2,18.87,52.69,1869,0.538,1
80.1,313.06,45.68,1997,3.632,1
14.73,196.93,46.17,2059,1.678,1
146.63,109.61,52.74,1796,2.278,0
123.32,20.75,43.65,2138,1.782,1
92.58,333.72,46.99,2145,2.063,1
92.28,322.96,50.47,1879,1.56,1
69.94,180.43,49.17,1916,2.083,1
86.02,193.8,52.05,1997,1.364,1
9.88,100.09,43.95,1886,1.305,1
149.77,178.2,57.82,1938,2.919,1
29.47,293.38,53.19,2040,1.921,1
47.17,201.97,48.32,1961,2.184,1
36.57,215.01,48.9,2121,1.297,1
142.8,150.34,65.15,1845,1.042,0
111.76,85.84,42.41,2141,2.754,1
115.12,45.51,51.46,2104,1.967,1
104.83,184.52,51.13,1945,1.08,1
122.6,278.78,40.89,1977,1.881,1
58.05,57.54,52.28,2151,2.563,1
50.17,316.4,47.14,1923,2.332,1
90.51,275.42,47.41,1776,2.406,1
149.49,11.95,50.13,2182,2.627,1
85.7,147.68,43.57,1938,1.373,1
41.63,295.19,50.65,2116,3.465,1
24.91,146.78,47.79,1835,1.953,1
20.34,357.14,48.0,2118,0.469,1
64.74,312.58,44.36,2034,3.701,1
92.88,23.96,50.43,1898,1.902,1
52.98,110.42,56.74,1721,3.991,1
76.11,265.86,53.17,1956,2.268,1
54.89,267.08,43.1,1902,1.362,1
105.56,305.12,41.87,1776,1.564,1
46.57,312.06,49.09,2052,1.449,1
120.89,327.29,50.06,1947,1.931,1
89.44,304.21,40.71,1973,1.122,1
72.3,73.83,51.42,2075,2.344,1
0.36,210.46,54.82,1972,2.136,1
77.28,122.18,48.34,1719,1.709,1
137.36,42.05,47.85,2062,2.368,1
96.42,67.16,47.66,2011,1.605,1
145.89,167.29,49.89,2102,1.482,0
48.5,87.85,53.22,1838,1.985,1
52.72,296.82,45.7,1967,0.964,1
85.99,95.87,59.35,1985,3.797,1
119.85,57.74,45.29,1929,2.078,1
1.7,128.03,50.88,2075,1.275,1
97.95,227.53,44.31,2051,1.632,1
105.56,276.56,44.35,1923,2.253,1
58.29,231.59,56.44,1927,1.368,1
86.95,172.41,44.95,2056,2.68,1
34.86,1.58,48.74,2152,3.315,1
52.11,338.65,47.85,1875,1.957,1
102.21,17.89,50.52,2040,1.639,1
88.8,236.4,51.72,1864,3.041,1
62.05,322.3,46.79,1818,1.91,1
56.72,100.77,46.89,2060,1.848,1
115.86,220.1,51.75,1942,1.233,1
75.38,208.04,41.02,2208,1.748,1
85.28,192.49,43.95,2114,3.058,1
73.63,210.31,54.83,2094,2.388,1
131.69,332.79,48.17,2164,1.18,1
128.6,137.97,57.95,2077,2.425,1
96.17,341.35,46.91,2150,3.102,1
44.91,155.51,46.53,1891,1.917,1
133.15,293.04,49.98,2232,2.912,1
36.7,260.4,54.68,2031,2.946,1
113.7,82.52,49.36,2096,0.897,1
127.09,31.66,51.89,1737,1.992,1
10.58,352.07,43.83,1792,2.064,1
94.66,63.35,49.44,1844,2.888,1
116.78,218.04,49.17,2106,1.987,1
103.02,149.01,49.6,2053,2.371,1
127.13,159.81,41.9,2107,0.5,1
129.26,214.9,47.36,2103,1.968,1
143.32,110.29,46.14,1789,1.748,1
147.93,232.82,45.04,2098,1.733,0
76.04,72.23,49.0,1990,2.621,1
82.01,129.49,49.97,2075,1.567,1
115.22,99.16,55.21,2037,0.905,1
23.23,129.64,42.02,1825,2.164,1
6.6,33.39,49.71,2023,2.421,1
35.57,250.06,56.11,2018,1.095,1
118.38,174.41,50.17,2163,1.122,1
103.21,22.94,51.96,2207,1.7,1
72.23,188.76,56.62,2067,3.034,1
40.94,256.66,45.97,2160,2.382,1
51.53,148.73,52.72,1913,2.379,1
22.18,80.01,51.46,2002,3.487,1
110.4,162.28,43.13,1865,3.217,1
51.47,28.6,46.09,2044,1.032,1
86.1,319.81,50.53,1779,3.123,1
54.53,24.67,49.21,1987,2.216,1
76.36,124.03,54.08,2361,2.283,1
115.5,117.07,46.72,1975,2.232,1
56.1,300.79,43.69,2013,2.81,1
91.38,13.9,48.2,2045,1.314,0
112.07,252.22,46.73,1871,1.248,1
46.47,90.44,53.7,2054,1.345,1
17.41,46.61,49.61,2046,0.482,1
145.54,213.08,47.96,2247,3.115,1
29.17,251.32,62.07,1727,1.33,1
131.77,243.27,54.67,2018,0.856,1
87.35,90.43,47.57,1991,2.627,1
66.85,234.23,58.33,2100,1.85,1
5.34,179.0,43.03,2107,1.071,1
20.21,40.82,50.75,1961,1.691,1
85.52,248.66,48.29,1875,2.368,1
54.29,230.05,40.14,1835,3.106,1
91.4,28.09,49.3,2072,1.349,1
6.45,268.99,40.22,1994,1.662,1
60.71,201.05,54.97,2134,1.559,1
5.18,300.62,47.18,2097,1.114,1
42.29,358.96,50.7,2152,2.176,1
98.42,351.06,53.84,1940,1.963,1
27.26,323.58,54.03,1813,2.674,1
53.61,20.53,53.13,2145,1.641,0
133.48,233.95,45.13,1978,2.139,1
84.46,343.67,48.2,1996,1.174,1
34.92,255.77,52.15,1815,1.721,1
14.35,87.9,53.14,1985,0.12,1
48.34,359.08,52.78,2119,3.112,1
10.71,333.38,55.15,2083,2.377,1
68.2,320.13,38.63,1819,1.818,1
18.24,81.66,48.57,2235,1.757,1
142.54,99.27,48.53,1903,1.672,1
85.51,344.63,61.69,1910,2.022,1
97.48,76.41,52.35,2003,1.118,1
93.89,261.87,49.09,2113,1.955,1
0.32,66.3,57.99,1784,1.231,1
118.39,130.69,56.18,2087,1.603,1
75.24,245.64,45.57,1768,1.481,1
85.73,339.63,53.69,1983,2.572,1
108.36,162.1,48.99,2036,1.904,1
0.71,223.33,53.0,2040,1.207,1
72.38,191.64,58.43,2156,1.873,1
84.33,16.66,51.76,1983,1.92,1
23.34,258.94,45.98,1847,1.26,1
143.98,265.97,47.13,1980,0.808,0
55.88,91.7,48.41,1795,0.27,1
69.85,341.01,49.84,1869,1.106,1
73.17,319.32,42.85,1963,1.767,1
65.8,215.35,43.88,1925,1.73,1
17.14,176.7,47.72,1787,1.672,1
81.32,57.58,59.41,2128,1.887,1
120.17,151.78,48.69,1908,3.14,1
83.29,329.01,56.89,1927,1.498,1
50.41,265.97,51.47,2327,1.214,1
70.16,230.29,50.76,1826,2.94,1
20.33,191.59,60.58,2148,2.679,1
64.9,154.55,47.24,1890,2.971,1
57.92,46.27,48.87,1984,1.152,1
22.02,50.33,53.13,2061,2.203,1
90.43,101.53,53.13,1611,2.478,1
81.07,46.07,49.5,1885,1.521,1
